Parameter,Actual values,Case 2 : CE,Case3 : Dual,,diffrence in controlers,CE offset,Dual offset
xk_1,0.5,0.5049951196571035,0.5049948755869319,,2.440701716288629e-07,-0.0049951196571035306,-0.004994875586931902
xk_1,0.5,0.5051617636069431,0.5051615448280141,,2.187789289731512e-07,-0.005161763606943093,-0.00516154482801412
xk_1,0.5,0.5045028786504343,0.504502684302204,,1.94348230286856e-07,-0.0045028786504343055,-0.004502684302204019
xk_1,0.5,0.5027555331630088,0.5027553646758594,,1.6848714945449927e-07,-0.0027555331630088054,-0.002755364675859351
xk_1,0.5,0.5011301257591013,0.5011299770525004,,1.487066009220328e-07,-0.0011301257591013192,-0.0011299770525003971
xk_1,0.5,0.5027366770054844,0.5027365449887342,,1.3201675019836046e-07,-0.0027366770054844114,-0.002736544988734213
xk_1,0.5,0.5043941775284922,0.5043940619529031,,1.1557558909913723e-07,-0.004394177528492249,-0.00439406195290315
xk_1,0.5,0.5035565500297445,0.5035564487563153,,1.0127342919830085e-07,-0.003556550029744532,-0.0035564487563153335
xk_1,0.5,0.5048800372937251,0.5048799466168638,,9.067686135288966e-08,-0.0048800372937251035,-0.004879946616863751
xk_1,0.5,0.5058287631157674,0.505828682044703,,8.107106441723744e-08,-0.00582876311576741,-0.005828682044702993
xk_1,0.5,0.5048567738540524,0.504856701659088,,7.219496434007766e-08,-0.004856773854052365,-0.004856701659088025
xk_1,0.5,0.5030705459446184,0.5030704820432697,,6.39013487679918e-08,-0.003070545944618419,-0.003070482043269651
xk_1,0.5,0.5032219283993171,0.5032218716273438,,5.677197334463813e-08,-0.00322192839931712,-0.0032218716273437753
xk_1,0.5,0.5027150656491625,0.5027150153523003,,5.029686211965867e-08,-0.0027150656491624625,-0.002715015352300343
xk_1,0.5,0.5023785257225747,0.5023784810830609,,4.4639513752109394e-08,-0.002378525722574687,-0.002378481083060935
xk_1,0.5,0.5042539358615256,0.5042538961906119,,3.967091366519071e-08,-0.00425393586152556,-0.004253896190611894
xk_1,0.5,0.5047818667300925,0.5047818314760889,,3.5254003605267314e-08,-0.00478186673009251,-0.004781831476088905
xk_1,0.5,0.5045489236291875,0.5045488923929514,,3.123623604217585e-08,-0.004548923629187462,-0.00454889239295142
xk_1,0.5,0.5031348254973529,0.5031347978975805,,2.759977235644584e-08,-0.003134825497352889,-0.0031347978975805324
xk_1,0.5,0.50377240679775,0.5037723824556595,,2.4342090565454555e-08,-0.0037724067977500386,-0.003772382455659473
xk_1,0.5,0.5036092387979877,0.5036092172145834,,2.1583404286040775e-08,-0.0036092387979876905,-0.0036092172145834045
xk_1,0.5,0.5034711036669158,0.5034710845519961,,1.9114919758145277e-08,-0.0034711036669158313,-0.003471084551996073
xk_1,0.5,0.5052603805022214,0.5052603635898774,,1.6912344080743935e-08,-0.00526038050222144,-0.005260363589877359
xk_1,0.5,0.5052022260650556,0.5052022110195048,,1.504555080522607e-08,-0.005202226065055604,-0.005202211019504799
xk_1,0.5,0.5043252250198569,0.5043252117098248,,1.3310032076496725e-08,-0.004325225019856882,-0.0043252117098248055
xk_1,0.5,0.503105572736162,0.503105560975067,,1.1761094986795229e-08,-0.0031055727361619656,-0.003105560975066979
xk_1,0.5,0.5003359359346978,0.5003359255517836,,1.038291419508397e-08,-0.00033593593469782856,-0.0003359255517836335
xk_1,0.5,0.5005081572753736,0.5005081481657732,,9.1096004073421e-09,-0.0005081572753735664,-0.000508148165773159
xk_2,350.0,350.0,350.0,,0.0,0.0,0.0
