Parameter,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual
Cost,[81.64851505],[124.62227918],[159.48832272],[359.15311079],[186.18399059],[128.2838873],[468.78697955],[128.94345498],[90.03084659],[126.89349089],[103.20048535],[97.64692738],[229.18127129],[121.42062329],[95.33171105],[75.67095126],[442.43380855],[96.48076033],[95.46907808],[140.20297529]
uk,2.957539164,4.9237114284,-0.7552759592,-0.3819241428,10.1935634113,7.513541028,-0.6337468909,0.1729737159,-0.2596568147,-0.4751523848,4.3400198775,-5.4037520278,1.8009895355,0.8659448114,-1.327059024,1.9733099424,-0.5561378984,-0.5935252403,-0.77901394,-0.6168421208
uk,9.4352605029,1.4514478286,1.3152872069,-2.8983968116,-6.7190912474,2.1654719743,-3.0665557212,0.9092255696,-0.0670989506,0.0973364544,5.2530528847,-4.5174525742,3.971265591,4.9338030764,1.7962508627,-3.0077683993,1.3358555649,-0.1491400949,-1.9219841802,0.4825816193
uk,7.1680597682,1.6525724924,2.20343161,-2.5503370828,-0.720872369,9.02189361,-3.1897107864,3.7131896938,1.4566900857,1.4319326299,8.4522802005,-2.2926073773,2.56439469,1.9877984566,1.8916392404,1.6213198474,2.7013820416,3.1700412705,-0.841732954,2.8250434556
uk,1.1754932671,6.7857699101,-0.1591196021,1.0775028068,0.4599829452,10.2402453137,-0.9800346866,8.9011389124,1.1851691646,4.4846537607,3.4117962829,2.5477526638,5.4921419721,6.6926341317,1.8539473204,4.5360705813,4.3958778703,2.9754801989,2.0251529385,2.2502587488
uk,6.486926116,3.8651238436,1.3158903713,-0.7297210971,1.4291945831,1.4693887626,-3.759001083,0.2200809344,-0.0618946489,1.572020731,6.0969663647,1.5918317928,6.0193825786,0.217354427,2.6434621935,2.5892281914,4.6335308221,5.2378033617,3.0321941752,3.576933519
uk,2.964158863,4.5391619936,3.8296328756,0.0515735582,-3.8209298751,2.0148120481,-3.0881761479,2.3981804815,-2.8793450958,5.9678808262,6.086464717,-4.0409863207,-3.6979436169,0.3416741981,2.6803728655,0.4651422644,-4.6981048755,-2.1873596929,0.8577902901,1.7912608387
uk,-10.9698407244,13.1944016937,5.2731531429,18.8627055169,9.9586240807,22.6452486124,21.7215892604,26.9326938408,17.650528907,16.6551404226,10.6414601761,13.3201056087,25.163386514,11.517834809,11.7312039772,7.4313692836,27.7243872577,19.8924973091,9.1084322913,11.0057032672
uk,11.1418089208,10.6656101993,9.797524217,-14.5304650048,7.9255662228,8.7551184213,-13.4245954632,13.7685371658,27.0060691328,11.9585837659,23.3617456041,12.5710954283,-0.9904457992,14.3632130423,19.0855071359,21.6061034473,-24.1120605018,20.4861584846,15.2073641978,3.2166362363
t1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t1,0.999937723,0.9985002956,0.9973929516,0.999964053,1.0000190924,1.0000510413,0.9989845513,0.988433261,1.0001778218,0.9982609359,0.998299537,0.9995014,0.9997440834,1.0000352292,0.9995269119,0.9695678373,0.989969121,1.0000869475,1.0019360643,0.9934099896
