Parameter,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE
xk2,-2.6715591369,-4.039320736,-2.8366071282,-1.9398223012,-4.0571774884,-3.5224514555,-1.8388072044,-0.9119920211,-1.7972067989,-1.7263926097,-2.2228738184,-2.691823764,-0.6233229627,-1.8371430839,-0.4765416255,-3.0645544363,-1.58138046,-1.0888509613,-2.8635567432,-3.6864518105
xk2,2.5525379227,-3.620467961,1.075445467,-0.2047625298,-0.066859371,1.5943510535,-0.3150051521,0.2793831878,0.6461709888,-1.0051280625,-0.793673786,-0.4764640384,0.5586372256,-1.7546250115,3.1236009641,6.4750370355,0.1762857198,1.119256101,-1.9411039243,2.1202770136
xk2,8.0621383903,1.3601320513,7.1297075919,-2.6948524191,6.9144624387,9.6538576027,4.2296222562,4.3734738557,4.7109059153,3.5119120106,3.7269192328,7.8011436948,9.1329242963,3.5139860486,1.659335645,9.9189826848,4.8752491487,4.5108042728,5.8950263322,9.9011981779
xk2,15.6636129649,6.8281935971,6.6861324561,7.6499330175,7.3843587984,13.6381965757,9.697533888,11.2976830928,6.7941448899,9.3946509567,9.5236842167,14.3575164877,21.2954118416,11.6638076484,4.1327087108,19.3846319317,9.0948788172,8.7828949765,12.0642671024,14.9211799746
xk2,11.498697013,2.8279791174,-0.5653699819,-4.7511911388,-1.0272013517,6.8725385326,7.4190948756,12.8376654945,5.746969425,6.5773588039,8.1926635658,10.5078300941,17.6050745409,10.6634351855,4.3013837413,22.4745620316,5.0944586305,9.4474142092,8.6196864553,14.8536645071
xk2,-6.0579898627,-4.4296581859,-8.3836176821,-1.1224233397,-7.98369288,-8.9195230014,-5.5157460311,-5.9518971359,-7.966721922,-7.8771579578,-3.6605391122,-5.8797829937,1.3806728948,-9.9025665721,-11.3485464992,-41.5942335827,-5.5586163483,-10.0291112848,-7.3827872311,-15.3759017042
xk2,-0.0621591282,3.6545390001,4.8268713594,9.5687380852,6.9506579069,4.2741672098,1.8356037703,0.9918988729,0.9040840789,-1.8216766683,1.0067581929,6.2980256647,-6.5576243315,1.1473902083,11.4102859808,-14.5456893289,1.2038188522,-2.3194532708,1.844319585,2.774444039
xk3,-0.2444794486,-0.461018615,-0.5258987317,0.2949770925,-0.0747427097,0.2212656562,-0.3430840424,0.3510596649,-0.0302428788,0.6045526977,0.0085202943,0.1059184358,-0.3983273904,0.09419116,-0.1031576501,-0.1335869145,-0.1499172219,0.014385387,-0.2405406621,-0.236162671
xk3,-0.9256392156,-0.3373477779,-0.5519024136,0.2977769763,0.5667352162,0.418278952,-0.6126649041,0.3346518413,-0.1552618798,0.38237892,-0.2981027656,0.1257104942,-0.0973492017,0.1123165443,0.3286994258,0.1898496665,-0.6716370509,-0.1076817104,-0.2982532283,0.4423427698
xk3,-0.8353761917,-0.026436879,-1.2499307242,0.5879430281,0.8375311943,0.1403864382,-0.1922122704,1.0841825259,0.1836265559,0.6455214835,-0.6949964688,-0.2327963825,0.4238410011,0.116348851,-0.0981617041,0.7294258053,-1.027620125,0.5119894468,-0.7294005504,-0.5511571118
